Code,Outre-Mer,Libellé,Population légale 2016,Densité de population (historique depuis 1876) 2015,Taux de pauvreté 2015
200033827,,CC de Fium'orbu Castellu,12924,20.2,23
200033868,,CC des Ballons des Hautes-Vosges,15306,79,15.8
200034023,,CC Tarn-Agout,31122,106,10.9
200034031,,CC des Monts d'Alban et du Villefranchois,6356,18.6,17.2
200034049,,CC Centre Tarn,10995,32.8,15.5
200034056,,CC du Lautrécois et du Pays d'Agout,14536,36.6,13
200034064,,CC du Cordais et du Causse (4 C),4610,18.3,25.6
200034098,,CC des Montagnes du Giffre,12079,34.1,7.2
200034130,,CC Gally Mauldre,21844,230.1,5
200034197,,CC de Montaigne Montravel et Gurson,12033,46,18.7
200034205,,CC de la Costa Verde,10212,53.7,26.8
200034270,,CC du Pays de Barr,24063,126.7,8.9
200034379,,CC Pays d'Uzès,28213,63,18.1
200034411,,CC du Piémont Cévenol,21558,47.4,20.3
200034601,,CC Causses Aigoual Cévennes,5559,11.7,26.4
200034635,,CC du Kochersberg,24985,185.1,5
200034692,,CA du Gard Rhodanien,73922,116.1,16.9
200034700,,CA Durance-Lubéron-Verdon Agglomération,61520,73,15.5
200034718,,"CC de Vitry, Champagne et Der",24988,49.1,17.1
200034726,,CC Bastides de Lomagne,11144,26.2,12.9
200034825,,CA du Grand Guéret,29213,61.3,13.8
200034833,,CC des Bastides Dordogne-Périgord,18803,28.5,17
200034874,,CC Côtes de Meuse Woëvre,6011,14.3,15.2
200034882,,CC Pays du Mont-Blanc,43907,117.7,8.6
200034957,,CC du Frontonnais,25885,158.6,8.1
200035087,,CA Terre de Provence,58855,221.4,16
200035103,,CC de la Vallée de la Haute-Sarthe,7853,28.6,15.5
200035111,,CC des Sources de l'Orne,12076,33.3,15.2
200035129,,CC de Cèze Cévennes,19219,61.1,25.2
200035137,,CC Marche Occitane - Val d'Anglin,6838,13.8,19.9
200035202,,CC Charlieu-Belmont,23363,83.7,11.4
200035319,,CA Var Esterel Méditerranée (Cavem),113022,321.7,15.1
200035327,,CC Cazals-Salviac,5332,21.3,19.7
200035442,,CC du Sud-Artois,27589,64.7,15.2
200035459,,CA d'Agen,96660,201.6,15.1
200035533,,CC du Grand Saint-Émilionnais,14738,63.1,12.5
200035541,,CC des Landes d'Armagnac,10886,10.2,14
200035632,,CC Armagnac Adour,6821,22.9,16.8
200035665,,CA Seine Eure,71424,207.6,15.6
200035707,,CC Piège Lauragais Malepère,15697,33.3,18.7
200035715,,CA Carcassonne Agglo,111452,106.1,21.9
200035723,,CC Ventoux Sud,9411,23.5,20.6
200035731,,CA Roannais Agglomération,100587,145.7,14.7
200035756,,CC Astarac Arros en Gascogne,7321,19.4,15.8
200035764,,CC de la Beauce Loirétaine,16649,41.5,6.5
200035772,,CC du Pays du Saintois,14481,41.6,8.3
200035814,,CA Flers Agglo,54255,95.9,15.1
200035848,,CC du Châtillonnais en Berry,6094,22.1,15.6
200035855,,CC Castelnaudary Lauragais Audois,26250,53.5,17.1
200035863,,"CC Région Lézignanaise, Corbières et Minervois",33209,40.7,23.5
200035970,,CC Vexin Centre,24918,102.5,5.2
200036069,,CC du Pays de Mortagne-au-Perche,13918,35.1,15.3
200036077,,CC du Golfe de Saint-Tropez,57448,133.9,15.7
200036135,,CC Coeur de France,18673,49.7,16.3
200036150,,CC des Hauts du Val de Saône,8694,17.8,19.2
200036465,,CC de Thann-Cernay,37806,239.8,11.7
200036473,,CA de Saintes,59716,125.3,13.8
200036499,,CC de Marana-Golo,23720,138.9,18.5
200036523,,CC des Bastides en Haut-Agenais Périgord,17110,25.4,17.1
200036549,,CC Val de Gray,20535,41.3,17
200036572,,CC Porte d'Aquitaine en Pays de Serres,5316,31.6,15.5
200037059,,CC de la Haute Somme (Combles - Péronne - Roisel),27655,60.1,19.4
200037133,,CC du Provinois,34655,54.9,15
200038958,,CC de la Pieve de l'Ornano,12199,18.3,15.5
200038990,,CC de Saint-Méen Montauban,26303,74.4,9.5
200039022,,CA Vitré Communauté,80368,92.1,8
200039055,,CC Ouche et Montagne,10666,33.4,6
200039063,,"CC Forêts, Seine et Suzon",6902,16.1,6.8
200039204,,CC de Lacq-Orthez,53388,73,12
200039519,,CC du Quercy Blanc,7742,18.7,17
200039642,,CC Le Tonnerrois en Bourgogne,16475,21.1,16.8
200039709,,CC du Serein,7497,13.4,14
200039758,,"CC Avallon, Vézelay, Morvan",19217,26.9,15.6
200039808,,CC des Gorges de l'Ardèche,15020,35.9,16.4
200039824,,CC Ardèche des Sources et Volcans,9627,36.3,18.4
200039832,,CC Pays des Vans en Cévennes,9193,27.7,22.6
200039857,,CA du Pays de Grasse,101795,207.9,12.7
200039865,,Metz Métropole,222146,720.8,17.2
